Mate,NAME,Pos.#,Barcode,Length,Width,Thickness,Length2,Width2,Thickness2,Top,Bottom,Edge 1,Edge 2,Edge 3,Edge 4,Qty
GP_HDH17_5900_BS,Drawer Side RHS,03.26Y125T4F14A3_1155,03.26Y125T4F14A3_1155,300,140,17,298.8,138.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Back,03.26Y125T4F14A3_1156,03.26Y125T4F14A3_1156,376.5,140,17,375.3,139.6,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Side LHS,03.26Y125T4F14A3_1157,03.26Y125T4F14A3_1157,300,140,17,298.8,138.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH_36_5900_BS,Int RS Filler 36 mm,02.26Y125T4F15D1_1010,02.26Y125T4F15D1_1010,150,470,36,148.8,468.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH_36_5900_BS,Int LS Filler 36mm,02.26Y125T4F15D1_1011,02.26Y125T4F15D1_1011,150,470,36,148.8,468.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH_6_5900_BS,Drawer Bottom,02.26Y125T4F15D1_1064,02.26Y125T4F15D1_1064,654,421,6,654,421,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
GP_HDH17_5900_BS,Drawer Front,02.26Y125T4F15D1_1012,02.26Y125T4F15D1_1012,146,708,17,144.8,706.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer front INT,02.26Y125T4F15D1_1060,02.26Y125T4F15D1_1060,644,80,17,642.8,79.6,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Side RHS,02.26Y125T4F15D1_1061,02.26Y125T4F15D1_1061,450,110,17,448.8,108.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Back,02.26Y125T4F15D1_1062,02.26Y125T4F15D1_1062,644,110,17,642.8,109.6,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
